1724889600,1.078e-06,1.12e-06,9.8e-07,9.9e-07,19666749255.593727,77
1724976000,9.9e-07,9.9e-07,8.501e-07,9.199e-07,45337869382.27621,341
1725062400,9.199e-07,1e-06,8.912e-07,9.4e-07,39441835617.67119,583
1725148800,9.4e-07,1.0662e-06,8.703e-07,9e-07,44794430612.78247,385
1725235200,8.999e-07,9.7e-07,8.6e-07,9.101e-07,24736690200.74614,262
1726185600,9.7e-07,9.88e-06,7.1e-08,1.081e-06,78636539848.92221,552
1726272000,1.086e-06,1.13e-06,1.001e-06,1.012e-06,42818108950.44928,538
1726358400,1.033e-06,1.12e-06,9.22e-07,9.39e-07,34554111733.86435,460
1726444800,9.39e-07,1.025e-06,8.62e-07,9.1e-07,35819656299.441055,342
1726531200,8.92e-07,1.01e-06,8.81e-07,9.5e-07,24318805814.477222,324
1726617600,9.4e-07,1.025e-06,8.9e-07,1.02e-06,22146955131.671017,304
1726704000,1.021e-06,1.26e-06,1.011e-06,1.179e-06,181832952083.47983,1243
1726790400,1.179e-06,1.505e-06,1.13e-06,1.199e-06,129430661330.15553,712
1726876800,1.182e-06,1.24e-06,1.14e-06,1.211e-06,23630776045.590122,249
1726963200,1.239e-06,1.239e-06,1.07e-06,1.129e-06,25820741551.074734,291
1727049600,1.119e-06,1.411e-06,1.094e-06,1.199e-06,107115383563.64896,840
1727136000,1.219e-06,1.38e-06,1.132e-06,1.323e-06,55533182672.34184,558
1727222400,1.34e-06,1.41e-06,1.257e-06,1.318e-06,238218552842.84662,1185
1727308800,1.318e-06,1.55e-06,1.282e-06,1.452e-06,300334375232.259,1602
1727395200,1.452e-06,1.799e-06,1.452e-06,1.568e-06,244249727642.72592,1901
1727481600,1.57e-06,1.873e-06,1.456e-06,1.621e-06,133158540799.51508,1137
1727568000,1.679e-06,1.895e-06,1.515e-06,1.643e-06,255794676470.60846,1180
1727654400,1.621e-06,1.622e-06,1.284e-06,1.482e-06,159682307095.82748,1137
1727740800,1.476e-06,1.741e-06,1.373e-06,1.455e-06,286342506019.0411,1711
1727827200,1.453e-06,1.563e-06,1.298e-06,1.318e-06,188769299765.39606,1128
1727913600,1.318e-06,1.441e-06,1.243e-06,1.336e-06,97621966769.529,658
1728000000,1.345e-06,1.595e-06,1.314e-06,1.521e-06,171517317807.21265,996
1728086400,1.519e-06,1.59e-06,1.449e-06,1.461e-06,74045892674.36803,555
1728172800,1.451e-06,1.563e-06,1.415e-06,1.563e-06,77331791799.40599,585
1728259200,1.558e-06,2.527e-06,1.558e-06,1.601e-06,321802962256.9888,2145
1728345600,1.619e-06,1.8e-06,1.574e-06,1.624e-06,163510722031.08313,1082
1728432000,1.615e-06,1.679e-06,1.381e-06,1.45e-06,234955755290.0092,1534
1728518400,1.443e-06,1.49e-06,1.324e-06,1.442e-06,200661839233.4529,1346
1728604800,1.448e-06,1.82e-06,1.434e-06,1.683e-06,250020390520.27188,1694
1728691200,1.691e-06,2.05e-06,1.673e-06,1.829e-06,509605131574.0274,2395
1728777600,1.836e-06,2.369e-06,1.715e-06,1.997e-06,420042227051.94135,2461
1728864000,1.996e-06,2.197e-06,1.837e-06,2.113e-06,505983011378.99005,2971
1728950400,2.118e-06,2.15e-06,1.8e-06,1.868e-06,383040113170.79565,2271
1729036800,1.87e-06,2.123e-06,1.824e-06,2.038e-06,244930538805.9516,1401
1729123200,2.039e-06,2.125e-06,1.872e-06,1.95e-06,309858474092.7908,2129
